atom	J	cm-1	source	label
h	0.5	0.	NIST ASD	2S
he	0	0.	NIST ASD	1S
li	0.5	0.	NIST ASD	2S
be	0	0.	NIST ASD	1S
b	0.5	0.	NIST ASD	2P
b	1.5	15.287	NIST ASD	2P
c	0	0.	NIST ASD	3P
c	1	16.4167130	NIST ASD	3P
c	2	43.4134567	NIST ASD	3P
c	2	10192.657	NIST ASD	1D
n	1.5	0.	NIST ASD	4S
o	2	0.	NIST ASD	3P
o	1	158.265	NIST ASD	3P
o	0	226.977	NIST ASD	3P
o	2	15867.862	NIST ASD	1D
f	1.5	0.	NIST ASD	2P
f	0.5	404.141	NIST ASD	2P
ne	0	0.	NIST ASD	1S
na	0.5	0.	NIST ASD	2S
mg	0	0.	NIST ASD	1S
al	0.5	0.	NIST ASD	2P
al	1.5	112.061	NIST ASD	2P
si	0	0.	NIST ASD	3P
si	1	77.115	NIST ASD	3P
si	2	223.157	NIST ASD	3P
si	2	6298.850	NIST ASD	1D
p	1.5	0.	NIST ASD	4S
p	1.5	11361.02	NIST ASD	2D
p	2.5	11376.63	NIST ASD	2D
s	2	0.	NIST ASD	3P
s	1	396.055	NIST ASD	3P
s	0	573.640	NIST ASD	3P
s	2	9238.609	NIST ASD	1D
cl	1.5	0.	NIST ASD	2P
cl	0.5	882.3515	NIST ASD	2P
ar	0	0.	NIST ASD	1S
