name	label	cm-1	source
no	2P_0.5	0.	WebBook
no	2P_1.5	123.26	WebBook
oh	2P_1.5	0.	WebBook
oh	2P_0.5	139.21	WebBook
ch2	3B1	0.	Jensen and Bunker, JCP, 89, 1327 (1988)
ch2	1A1	3147.	Jensen and Bunker, JCP, 89, 1327 (1988)
nh4	2A1	0.	ATcT
cch	2S+	0.	WebBook
cch	2Pi	3692.61	WebBook
c2h3o	2A"	0.	Thomas et al., JCP 132, 114302 (2010)
c2h3o	2A'	8019.	Thomas et al., JCP 132, 114302 (2010)
ccl	2P_0.5	0.	Jin et al., JMS 182, 189 (1997)
ccl	2P_1.5	135.65	Jin et al., JMS 182, 189 (1997)
cf	2P_0.5	0.	WebBook
cf	2P_1.5	77.12	WebBook
ch	2P_0.5	0.	WebBook
ch	2P_1.5	27.95	WebBook
sih	2P_0.5	0.	WebBook
sih	2P_1.5	142.83	WebBook
clo	2P_1.5	0.	Drouin et al., JMS 207, 4 (2001)
clo	2P_0.5	321.96	Drouin et al., JMS 207, 4 (2001)
fo	2P_1.5	0.	Hammer et al., JMS 129, 99 (1988)
fo	2P_0.5	193.8	Hammer et al., JMS 129, 99 (1988)
cn	2S+	0.	WebBook
co	1S+	0.	
cs	1S+	0.	
f2	1Sg+	0.	
h2	1Sg+	0.	
hf	1S+	0.	
n2	1Sg+	0.	
nh	3S-	0.	WebBook
o2	3Sg-	0.	WebBook
o2	1Dg	7918.1	WebBook
sio	1S+	0.	WebBook
ccf2	1A1	0.	WebBook
ccf2	3A2	7455.	WebBook
ch3c	2A"	0.	ATcT
ch3c	4A1	11048.	ATcT
ch3ch	3A"	0.	ATcT
ch3ch	1A	1027.	ATcT
ch3o	2E_1.5	0.	Brossard et al., JCP 84, 2459 (1986)
ch3o	2E_0.5	61.8	Brossard et al., JCP 84, 2459 (1986)
ch3oo	2A"	0.	Blanksby et al., JACS 123, 9585 (2001)
ch3oo	2A'	7382.8	WebBook
chcl	1A'	0.	WebBook
chcl	3A"	2163.28	WebBook
chf	3A"	5210.	WebBook
chf	1A'	0.	WebBook
ccf	2A'	0.	Tarroni et al., CPL 493, 220 (2010)
ccf	2Pi	315.	Tarroni et al., CPL 493, 220 (2010)
clf2	2A1	0.	Sannigrahi and Peyerimhoff, CPL 114, 6 (1985)
clf2	2Pi_u	1630.	Sannigrahi and Peyerimhoff, CPL 114, 6 (1985)
cyclobutadiene	1A_1g	0.	Levchenko and Krylov, JCP 120, 175 (2004)
cyclobutadiene	3B_1g	5600.	Levchenko and Krylov, JCP 120, 175 (2004)
hcco	2A"	0.	Simmonett et al., JPCA 113, 11643 (2009)
hcco	2A'	680.	Simmonett et al., JPCA 113, 11643 (2009)
hoo	2A"	0.	WebBook; Fink and Ramsay, JMS 185, 304 (1997)
hoo	2A'	7029.69	WebBook; Fink and Ramsay, JMS 185, 304 (1997)
ncn	3Sigma-_g	0.	Taylor et al., CPL 301, 413 (1999)
ncn	1Delta_g	8146.	Taylor et al., CPL 301, 413 (1999)
ncn	1Sigma+_g	13140.	Taylor et al., CPL 301, 413 (1999)
PhOO	2X	0.	WebBook
PhOO	2A	7497.	WebBook
PhO	2X	0.	WebBook
PhO	2A	7681.	WebBook
sih2	1A1	0.	Berkowitz et al., JCP 86, 1235 (1987); Shen et al., JPCA 112, 4703 (2008)
sih2	3B1	7340.	Berkowitz et al., JCP 86, 1235 (1987); Shen et al., JPCA 112, 4703 (2008)
